累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年16週(04月17日～04月23日),2023年04月26日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,
,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当,累積,定当
総数,639313,129.49,21008,6.68,7917,2.52,23683,7.53,287046,91.24,3813,1.21,4758,1.51,452,0.14,11400,3.62,3891,1.24,1435,0.46,101,0.15,2373,3.42,113,0.24,142,0.3,150,0.31,8,0.02,68,0.14
北海道,30816,135.75,3048,22.09,513,3.72,1763,12.78,5618,40.71,246,1.78,41,0.3,7,0.05,247,1.79,52,0.38,31,0.22,1,0.03,52,1.79,-,-,-,-,11,0.48,-,-,4,0.17
青森県,10833,171.95,191,4.66,59,1.44,105,2.56,3540,86.34,34,0.83,10,0.24,6,0.15,140,3.41,5,0.12,21,0.51,-,-,6,0.6,2,0.33,3,0.5,34,5.67,-,-,-,-
岩手県,12639,203.85,402,10.31,51,1.31,611,15.67,3497,89.67,22,0.56,17,0.44,-,-,193,4.95,3,0.08,12,0.31,-,-,32,2.46,3,0.16,3,0.16,4,0.21,-,-,9,0.47
宮城県,6083,64.71,405,7.11,125,2.19,300,5.26,6165,108.16,56,0.98,11,0.19,12,0.21,245,4.3,6,0.11,22,0.39,-,-,47,3.92,2,0.18,1,0.09,11,1,-,-,-,-
秋田県,6000,117.65,51,1.55,39,1.18,213,6.45,1832,55.52,36,1.09,7,0.21,8,0.24,80,2.42,35,1.06,8,0.24,-,-,12,1.71,-,-,-,-,2,0.25,-,-,-,-
山形県,5836,135.72,167,5.96,70,2.5,187,6.68,2974,106.21,34,1.21,14,0.5,3,0.11,156,5.57,1,0.04,16,0.57,-,-,11,1.38,3,0.3,-,-,1,0.1,-,-,1,0.1
福島県,5484,66.07,919,18.38,144,2.88,357,7.14,4025,80.5,29,0.58,13,0.26,13,0.26,298,5.96,4,0.08,25,0.5,-,-,63,4.85,2,0.29,1,0.14,2,0.29,-,-,-,-
茨城県,9902,82.52,128,1.71,137,1.83,511,6.81,4894,65.25,67,0.89,52,0.69,7,0.09,145,1.93,22,0.29,30,0.4,2,0.12,160,9.41,-,-,1,0.08,11,0.92,-,-,1,0.08
栃木県,8340,109.74,75,1.56,42,0.88,294,6.13,3542,73.79,59,1.23,25,0.52,2,0.04,203,4.23,5,0.1,13,0.27,-,-,40,3.33,3,0.43,1,0.14,-,-,-,-,1,0.14
群馬県,6293,73.17,86,1.62,164,3.09,208,3.92,4780,90.19,86,1.62,17,0.32,15,0.28,257,4.85,13,0.25,33,0.62,-,-,68,4.86,1,0.11,-,-,1,0.11,-,-,-,-
埼玉県,29043,114.34,638,3.99,386,2.41,877,5.48,16003,100.02,281,1.76,135,0.84,33,0.21,634,3.96,32,0.2,110,0.69,15,0.38,123,3.08,3,0.27,8,0.73,3,0.27,-,-,4,0.36
千葉県,21331,102.06,178,1.37,155,1.19,771,5.93,11878,91.37,174,1.34,63,0.48,18,0.14,352,2.71,30,0.23,68,0.52,1,0.03,123,3.62,3,0.33,5,0.56,-,-,-,-,-,-
東京都,43666,105.99,559,2.16,479,1.85,1435,5.54,25255,97.51,348,1.34,221,0.85,58,0.22,965,3.73,114,0.44,140,0.54,5,0.13,65,1.71,9,0.38,14,0.58,5,0.21,6,0.25,3,0.13
神奈川県,44320,123.8,267,1.18,263,1.16,1101,4.87,18847,83.39,202,0.89,116,0.51,36,0.16,739,3.27,64,0.28,126,0.56,7,0.14,346,6.92,6,0.55,13,1.18,3,0.27,-,-,1,0.09
新潟県,14991,174.31,637,11.58,185,3.36,864,15.71,4492,81.67,66,1.2,34,0.62,7,0.13,204,3.71,10,0.18,29,0.53,-,-,20,2,1,0.08,3,0.25,3,0.25,-,-,1,0.08
富山県,11044,230.08,442,15.24,170,5.86,392,13.52,4604,158.76,41,1.41,12,0.41,3,0.1,86,2.97,20,0.69,8,0.28,-,-,8,1.14,-,-,-,-,-,-,-,-,-,-
石川県,14194,295.71,289,9.97,95,3.28,152,5.24,4585,158.1,40,1.38,88,3.03,1,0.03,112,3.86,33,1.14,10,0.34,1,0.14,40,5.71,1,0.2,2,0.4,7,1.4,-,-,1,0.2
福井県,9996,270.16,323,14.04,160,6.96,269,11.7,1883,81.87,61,2.65,153,6.65,3,0.13,84,3.65,59,2.57,9,0.39,-,-,2,0.67,3,0.5,3,0.5,1,0.17,-,-,-,-
山梨県,1788,43.61,70,2.92,7,0.29,20,0.83,2270,94.58,12,0.5,8,0.33,1,0.04,88,3.67,1,0.04,12,0.5,-,-,38,4.22,1,0.1,-,-,1,0.1,-,-,3,0.3
長野県,8332,95.77,221,4.17,69,1.3,153,2.89,5917,111.64,50,0.94,16,0.3,4,0.08,137,2.58,19,0.36,14,0.26,5,0.5,51,5.1,-,-,3,0.25,4,0.33,-,-,1,0.08
岐阜県,4395,51.1,178,3.42,137,2.63,165,3.17,3150,60.58,20,0.38,34,0.65,2,0.04,134,2.58,7,0.13,10,0.19,-,-,27,2.45,-,-,5,1,-,-,-,-,1,0.2
静岡県,7740,55.68,443,4.98,271,3.04,308,3.46,7892,88.67,97,1.09,57,0.64,17,0.19,277,3.11,12,0.13,56,0.63,1,0.05,34,1.55,7,0.7,7,0.7,5,0.5,-,-,2,0.2
愛知県,22730,116.56,368,2.02,321,1.76,1181,6.49,15738,86.47,164,0.9,86,0.47,18,0.1,458,2.52,27,0.15,57,0.31,3,0.09,41,1.17,7,0.47,5,0.33,-,-,-,-,1,0.07
三重県,7905,111.34,72,1.64,164,3.73,155,3.52,3573,81.2,77,1.75,16,0.36,4,0.09,156,3.55,7,0.16,15,0.34,-,-,6,0.5,4,0.44,8,0.89,3,0.33,-,-,-,-
滋賀県,8533,144.63,117,3.34,82,2.34,218,6.23,2697,77.06,57,1.63,22,0.63,4,0.11,82,2.34,17,0.49,9,0.26,-,-,-,-,-,-,-,-,2,0.29,-,-,-,-
京都府,23865,192.46,571,7.61,171,2.28,857,11.43,5580,74.4,147,1.96,98,1.31,13,0.17,172,2.29,54,0.72,15,0.2,1,0.06,30,1.76,1,0.14,2,0.29,3,0.43,-,-,4,0.57
大阪府,58099,196.28,2182,11.25,488,2.52,1569,8.09,17282,89.08,227,1.17,240,1.24,30,0.15,601,3.1,137,0.71,99,0.51,9,0.18,114,2.24,-,-,5,0.33,-,-,-,-,7,0.47
兵庫県,26663,134.66,881,6.83,330,2.56,602,4.67,14953,115.91,155,1.2,290,2.25,21,0.16,361,2.8,113,0.88,32,0.25,5,0.14,129,3.69,6,0.43,6,0.43,-,-,-,-,-,-
奈良県,8019,145.8,308,9.06,83,2.44,167,4.91,3075,90.44,29,0.85,83,2.44,4,0.12,123,3.62,16,0.47,7,0.21,-,-,50,5,6,1,3,0.5,1,0.17,1,0.17,1,0.17
和歌山県,5107,104.22,274,9.13,38,1.27,169,5.63,2098,69.93,27,0.9,31,1.03,-,-,90,3,2,0.07,11,0.37,4,1,4,1,2,0.18,4,0.36,3,0.27,-,-,1,0.09
鳥取県,1555,53.62,16,0.84,45,2.37,413,21.74,2374,124.95,13,0.68,16,0.84,4,0.21,82,4.32,6,0.32,4,0.21,1,0.2,2,0.4,1,0.2,1,0.2,-,-,-,-,4,0.8
島根県,2868,75.47,17,0.74,69,3,65,2.83,2288,99.48,43,1.87,71,3.09,3,0.13,127,5.52,11,0.48,8,0.35,-,-,6,2,4,0.5,2,0.25,-,-,-,-,-,-
岡山県,8954,106.6,280,5.19,146,2.7,139,2.57,4729,87.57,50,0.93,116,2.15,9,0.17,159,2.94,47,0.87,36,0.67,5,0.42,36,3,2,0.4,6,1.2,1,0.2,-,-,3,0.6
広島県,13537,118.75,365,5.14,276,3.89,453,6.38,7370,103.8,63,0.89,33,0.46,5,0.07,221,3.11,82,1.15,19,0.27,6,0.32,94,4.95,1,0.05,-,-,3,0.14,-,-,2,0.1
山口県,5592,86.03,339,7.7,81,1.84,350,7.95,4730,107.5,42,0.95,29,0.66,6,0.14,236,5.36,91,2.07,17,0.39,-,-,38,4.22,-,-,1,0.11,3,0.33,-,-,-,-
徳島県,2902,78.43,90,3.91,42,1.83,25,1.09,2175,94.57,20,0.87,38,1.65,3,0.13,106,4.61,5,0.22,7,0.3,2,0.5,2,0.5,1,0.14,3,0.43,-,-,-,-,-,-
香川県,6823,145.17,144,5.14,83,2.96,30,1.07,3841,137.18,25,0.89,6,0.21,1,0.04,140,5,37,1.32,13,0.46,-,-,5,1,-,-,1,0.2,1,0.2,-,-,-,-
愛媛県,6230,103.83,244,6.78,79,2.19,300,8.33,5806,161.28,25,0.69,34,0.94,2,0.06,243,6.75,16,0.44,21,0.58,-,-,57,7.13,-,-,-,-,2,0.33,-,-,-,-
高知県,4528,100.62,153,5.67,30,1.11,116,4.3,2083,77.15,24,0.89,96,3.56,7,0.26,95,3.52,117,4.33,4,0.15,-,-,3,1,2,0.25,-,-,9,1.13,-,-,6,0.75
福岡県,42618,215.24,1288,10.73,478,3.98,2984,24.87,11021,91.84,193,1.61,380,3.17,14,0.12,692,5.77,658,5.48,64,0.53,1,0.04,67,2.58,7,0.47,4,0.27,1,0.07,-,-,3,0.2
佐賀県,7189,184.33,429,18.65,129,5.61,111,4.83,1215,52.83,15,0.65,86,3.74,3,0.13,170,7.39,241,10.48,13,0.57,-,-,4,1,3,0.5,1,0.17,-,-,-,-,3,0.5
長崎県,10672,152.46,631,14.34,125,2.84,1189,27.02,2640,60,73,1.66,158,3.59,9,0.2,181,4.11,372,8.45,28,0.64,12,1.5,37,4.63,3,0.25,2,0.17,3,0.25,-,-,-,-
熊本県,8535,108.04,713,14.55,159,3.24,171,3.49,4350,88.78,54,1.1,99,2.02,-,-,328,6.69,735,15,34,0.69,-,-,51,5.67,3,0.2,6,0.4,1,0.07,-,-,-,-
大分県,9793,168.84,96,2.67,105,2.92,203,5.64,6323,175.64,62,1.72,23,0.64,9,0.25,228,6.33,87,2.42,31,0.86,-,-,27,5.4,1,0.09,1,0.09,4,0.36,-,-,-,-
宮崎県,10054,176.39,383,10.94,225,6.43,308,8.8,5842,166.91,66,1.89,57,1.63,6,0.17,231,6.6,259,7.4,26,0.74,2,0.33,73,12.17,1,0.14,1,0.14,-,-,-,-,-,-
鹿児島県,7537,82.82,1187,22.4,343,6.47,293,5.53,6662,125.7,50,0.94,205,3.87,14,0.26,244,4.6,171,3.23,44,0.83,2,0.29,40,5.71,-,-,2,0.17,-,-,-,-,-,-
沖縄県,15939,289.8,143,4.47,104,3.25,559,17.47,958,29.94,51,1.59,1301,40.66,7,0.22,98,3.06,36,1.13,18,0.56,10,1.25,89,11.13,8,1.14,5,0.71,1,0.14,1,0.14,-,-
